x,rho,vx,P,E
1.250000000000000026e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
3.749999999999999861e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
6.250000000000000347e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
8.749999999999999098e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.124999999999999958e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.375000000000000007e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.625000000000000056e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.875000000000000278e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
2.125000000000000153e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
2.375000000000000028e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
2.625000000000000250e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
2.875000000000000125e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
3.125000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
3.375000000000000222e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
3.625000000000000444e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
3.874999999999999972e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
4.125000000000000194e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
4.375000000000000416e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
4.624999999999999944e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
4.875000000000000167e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
5.125000000000000389e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
5.374999999999999917e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
5.625000000000000139e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
5.875000000000000361e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
6.124999999999999889e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
6.375000000000000111e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
6.625000000000000333e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
6.875000000000000555e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
7.125000000000000777e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
7.374999999999999611e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
7.624999999999999833e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
7.875000000000000056e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
8.125000000000000278e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
8.375000000000000500e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
8.625000000000000722e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
8.875000000000000944e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
9.124999999999999778e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
9.375000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
9.625000000000000222e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
9.875000000000000444e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.012500000000000067e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.037500000000000089e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.062499999999999972e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.087499999999999994e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.112500000000000017e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.137500000000000039e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.162500000000000061e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.187500000000000083e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.212499999999999967e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.237499999999999989e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.262500000000000011e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.287500000000000033e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
1.312500000000000056e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.499999999999999778e+00
