x,rho,vx,P,E
1.25000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.75000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.25000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.75000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
7.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
7.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
7.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
7.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
9.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
9.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
9.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
9.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.01250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.03750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.06250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.08750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.11250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.13750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.16250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.18750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.21250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.23750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.26250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.28750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.31250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.33750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.36250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.38750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.41250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.43750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.46250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.48750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.51250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.53750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.56250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.58750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.61250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.63750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.66250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.68750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.71250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.73750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.76250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.78750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.81250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.83750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.86250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.88750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.91250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.93750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.96250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.98750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.01250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.03750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.06250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.08750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.11250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.13750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.16250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.18750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.21250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.23750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.26250000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.28750000e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
